KEDS_ACTOR_CODE,ACTOR
LBRLOF,LOFA
LBRMAN,MANDINGO
LBRMNT,MONTSERRADO
LBRMRG,MARGIBI
LBRMRY,MARYLAND
LBRNIM,NIMBA
LBROPPALC,ALL LIBERIA COALITION PARTY
LBROPPLAP,LIBERIA ACTION PARTY
LBROPPNDM,NEW DEAL MOVEMENT
LBROPPNDP,LIBERIA DEMOCRATIC PARTY
LBROPPUPP,UNITED PEOPLE’S PARTY
LBRREBAFL,ARMED FORCES OF LIBERIA
LBRREBINP,INDEPENDENT NPFL
LBRREBLPC,LIBERIA PEACE COUNCIL
LBRREBLUR,LURD
LBRREBNPF,NPFL
LBRREBULM,UNITED LIBERATION FRONT
LBRRVC,RIVERCESS
LBRSIN,SINO
LKAREBJVP,PEOPLE’S LIBERATION FRONT
MARREBPLS,POLISARIO GUERILLAS
MOSALE,ALEWI
MOSDRZ,DRUZE
MOSRAD,RADICAL MUSLIM
MOSSFI,SUFI
MOSSHI,SHIA
MOSSUN,SUNNI
NGAABI,ABIA
NGAABU,ABUJA
NGAADA,ADAMAWA
NGAAKI,AKWA IBOM
NGAANB,ANAMBRA
NGABAU,BAUCHI
NGABAY,BAYELSA
NGABIA,BIAFRA
NGABNU,BENUE
NGABOR,BORNO
NGACRR,CROSS RIVER
NGADEL,DELTA
NGAEBO,EDO
NGAEKI,EKITI
NGAENU,ENUGU
NGAGOM,GOMBE
NGAHAU,HAUSA
NGAIBO,IBO
NGAIJW,IJAWS
NGAIMO,IMO
NGAJIG,JIGAWA
NGAKAD,KADUNA
NGAKAN,KANO
NGAKAT,KATSINA
NGAKEB,KEBBI
NGAKOG,KOGI
NGAKWA,KWARA
NGALAG,LAGOS
NGANAS,NASSARAWA
NGANDR,NIGER DELTA REGION
NGANGR,NIGER
NGANNG,NORTH NIGERIA
NGAOGO,OGONI
NGAOGU,OGUN
NGAOND,ONDO
NGAOPPANP,ALL NIGERIA PEOPLE’S PARTY
NGAOPPCFD,CAMPAIGN FOR DEMOCRACY
NGAOPPNDC,NADECO
NGAOSU,OSUN
NGAOYO,OYO
NGAPLA,PLATEU STATE
NGAREBMAD,MAD
NGARIV,RIVERS
NGASOK,SOKOTO
NGATAR,TARABA
NGATIV,TIV
NGAYOB,YOBE
NGAYRB,YORUBA
NGAZAM,ZAMFARA
NGMGRP,GREENPEACE
NGOCHRCSI,CHRISTIAN SOLIDARITY INTL
NGOHLHCRC,ICRC
NGOHLHIRC,RED CROSS
NGOHLHMSF,DOCTORS WITHOUT BORDERS
NGOHLHRCR,RED CRESCENT
NGOHRIAMN,AMNESTY INTERNATIONAL
NGOHRIFID,FIDH
NGOHRIHRW,HUMAN RIGHTS WATCH
NGOHRIIHF,HELSINKI HUMAN RIGHTS FEDERATION
NGOICG,INTERNATIONAL CRISIS GROUP
NGOJUDJUR,INTL COMMISSION OF JURISTS
NGOREFIOM,INTL MIGRATION ORGANIZATION
NGOUAJ,UNION OF ARAB JOURNALISTS
NGOWEF,WORLD ECONOMIC FORUM
NGOXFM,OXFAM
PAKKAS,PAKISTANI-CONTROLLED KASHMIR
PALPLO,PALESTINE LIBERATION ORG
PALREBANO,ABU NIDAL ORGANIZATION
PALREBPLF,PALESTINE LIBERATION FRONT
PNGBOU,BOUGAINVILLE
PSEGOVFTA,FATAH
PSEGOVHMS,HAMAS
PSEGZS,GAZA STRIP
PSEREBAAM,AL AQSA MARTYRS BRIGADE
PSEREBDFL,DFLP
PSEREBHMS,HAMAS
PSEREBISJ,PALESTINIAN ISLAMIC JIHAD
PSEREBPFL,PFLP
PSEWSB,WEST BANK
RUSCNY,CHECHNYA
RWAGOVRPF,RWANDAN PATRIOTIC FRONT
RWAUAFRPF,RWANDAN PATRIOTIC FRONT
SCG,SERBIA AND MONTENEGRO
SCGKSV,KOSOVO
SCGMTN,MONTENEGRO
SCGSRB,SERBIA
SCGVVD,VOJVODINA
SDNDFR,DARFUR
SDNREBNDA,NATIONAL DEMOCRATIC ALLIANCE
SDNREBSPL,SUDAN PEOPLE’S LIBERATION ARMY
SENREBMDF,CASAMANCE DEMOCRATIC FORCES
SER,SERB
SLEREBKAM,KAMOJOR MILITIA
SLEREBRUF,REVOLUTIONARY UNITED FRONT
SNL,SINHALESE
SRBKSV,KOSOVO
SRBVVD,VOJVODINA
TRG,TUAREG
TRK,TURK
TURANK,ANKARA
TURGOVAKP,AKP
TURGOVANP,ANAP
TURGOVCHP,CHP
TURGOVDSP,DSP
TURGOVDYP,DYP
TURGOVMHP,MHP
TURGOVREP,WELFARE PARTY (REFAH)
TURIST,ISTANBUL
TURIZM,IZMIR
TUROPPAKP,AKP
TUROPPANP,ANAP
TUROPPCHP,CHP
TUROPPDSP,DSP
TUROPPDTP,DTP
TUROPPDYP,DYP
TUROPPFAZ,VIRTUE PARTY (FAZILET)
TUROPPHDP,DEHAP/HADEP
TUROPPMHP,MHP
TUROPPREP,WELFARE PARTY (REFAH)
TURREBDSL,DEV-SOL
TURREBPKK,PKK
TURSOE,SOUTHEAST TURKEY
TUT,TUTSI
UGAREBADF,ALLIED DEMOCRATIC FORCES
UGAREBLRA,LORD’S RESISTANCE ARMY
USR,USSR
YMN,NORTH YEMEN
YMS,SOUTH YEMEN
YUGBSN,YUGOSLAV BOSNIA
YUGCTA,YUGOSLAV CROATIA
YUGKSV,KOSOVO
YUGMCD,YUGOSLAV MACEDONIA
YUGMTN,MONTENEGRO
YUGSLN,YUGOSLAV SLOVENIA
YUGSRB,YUGOSLAV SERBIA
YUGVVD,VOJVODINA
BIHCRO,Bosnian Croat
BIHMOS,Bosnian Muslim
BIHSER,Bosnian Serb
HRVSER,Croatian Serb
IRNREBPMD,People's Mujahedeen
IRQKUR,Kurds in Iraq
ISRARB,Arab Israeli
ISROPPCMN,Israeli Communist Party
LBRMIL,Armed Forces of Liberia
NGAEDO,Edo
SRBKSVABN,Kosovar Albanian
SRBKSVSRB,Kosovar Serb
TURKUR,Kurds in Turkey
